0 0 0
100 4950 2577
200 19900 9733
300 44850 22453
400 79800 39201
500 124750 57766
600 179700 87220
700 244650 118741
800 319600 151871
900 404550 197621
1000 499500 247963
1100 604450 306659
1200 719400 358667
1300 844350 420090
1400 979300 482967
1500 1124250 565327
1600 1279200 640908
1700 1444150 692992
1800 1619100 809411
1900 1804050 869616
2000 1999000 967652
2100 2203950 1092619
2200 2418900 1175129
2300 2643850 1270284
2400 2878800 1420546
2500 3123750 1562736
2600 3378700 1687789
2700 3643650 1811649
2800 3918600 1902532
2900 4203550 2045634
3000 4498500 2206102
3100 4803450 2357025
3200 5118400 2526644
3300 5443350 2646311
3400 5778300 2787991
3500 6123250 3084164
3600 6478200 3177074
3700 6843150 3329823
3800 7218100 3457733
3900 7603050 3751066
4000 7998000 3867411
4100 8402950 4201962
4200 8817900 4334807
4300 9242850 4486062
4400 9677800 4728110
4500 10122750 4964286
4600 10577700 5066589
4700 11042650 5470500
4800 11517600 5553320
4900 12002550 5784091
5000 12497500 6127381
5100 13002450 6382383
5200 13517400 6630120
5300 14042350 7040755
5400 14577300 7040215
5500 15122250 7470500
5600 15677200 7668546
5700 16242150 7873230
5800 16817100 8142634
5900 17402050 8425671
6000 17997000 8809994
6100 18601950 9086263
6200 19216900 9299515
6300 19841850 9633298
6400 20476800 9968730
6500 21121750 10404957
6600 21776700 10658243
6700 22441650 11080822
6800 23116600 11459466
6900 23801550 11587890
7000 24496500 12004547
7100 25201450 12346053
7200 25916400 12485741
7300 26641350 13055613
7400 27376300 13527159
7500 28121250 13753877
7600 28876200 14198040
7700 29641150 14592037
7800 30416100 14976359
7900 31201050 15300173
8000 31996000 15622477
8100 32800950 16090050
8200 33615900 16501771
8300 34440850 16816611
8400 35275800 17443740
8500 36120750 17618888
8600 36975700 17984314
8700 37840650 18501513
8800 38715600 18949479
8900 39600550 19174772
9000 40495500 19910866
9100 41400450 20318106
9200 42315400 21061146
9300 43240350 21307821
9400 44175300 21576677
9500 45120250 22487954
9600 46075200 22545150
9700 47040150 23428274
9800 48015100 23661075
9900 49000050 23861352
10000 49995000 24400287
